# VERSION NUMBER: 1.0.0
# START TIME: Tue Dec  4 10:34:22 2018
# 
# TIME PARAMETERS:	4875.000000	10.000000	57.000000	81.587031	0.000000	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	1.000000	0.100000	
# SPACECRAFT PARAMETERS:	7827.867000	16.000000	0.001243	7150732.992181	196.551000	98.424919	68.491653	291.508762	0.000000	0.000000	2.900000	180.000000	0.000000	81.500000	2.000000	17023.300000	397.100000	-2171.400000	397.100000	124825.700000	344.200000	-2171.400000	344.200000	129112.200000	931500.000000	0.000000	0.000000	0.000000	1059000.000000	0.000000	0.000000	0.000000	1059000.000000	
# MODEL PARAMETERS:	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	2.000000	2.000000	2.200000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	10.000000	0.100000	1.000000	1.000000	
#
# Rotation Matrix from TEME to ECI (J2000) at propagation start:
# 0.9999946757676250	0.0029847622663145	0.0013189505737857	
# -0.0029847221839813	0.9999955451833360	-0.0000323568752460	
# -0.0013190412756830	0.0000284200019334	0.9999991296608296	
# 
# Time since Start (s)	Velocity Components in TEME [v_i v_j v_k] (m/s)	Position Components in TEME [r_i r_j r_k] (m)	Angular Velocity Components in Body Frame [w_x w_y w_z] (rad/s)	Orientation Quaternion [q_0 q_1 q_2 q_3]
0.000000	-3.0342360099999678e+02	1.0515137020000006e+03	7.3889006430000009e+03	-6.8513213592900028e+06	-2.0360812531800000e+06	5.1209100002888590e+01	0.0000000000000000e+00	0.0000000000000000e+00	5.0614548307835558e-02	6.3385515879563592e-01	3.4429412470306686e-01	5.5596281630038358e-01	-4.1303091924752378e-01
1.000000	-2.9593443620946039e+02	1.0537387180335591e+03	7.3888965376417073e+03	-6.8516210383381685e+06	-2.0350286268747693e+06	7.4401083651206118e+03	5.0750863825756321e-05	4.5542676428051543e-05	5.0615321756854251e-02	6.4409315799777311e-01	3.5826508620373043e-01	5.4707451982818323e-01	-3.9686219470069461e-01
2.000000	-2.8844492083560465e+02	1.0559625902691189e+03	7.3888843346955382e+03	-6.8519132280455623e+06	-2.0339737761251989e+06	1.4828999476090243e+04	1.0090237141447703e-04	9.3351694169152181e-05	5.0616166427313924e-02	6.5389701003518064e-01	3.7203232443983802e-01	5.3784072855978959e-01	-3.8044447760641359e-01
3.000000	-2.8095506314557105e+02	1.0581853162428856e+03	7.3888640341164000e+03	-6.8521979280657368e+06	-2.0329167020763184e+06	2.2217874335300592e+04	1.5042502509647916e-04	1.4339944696865585e-04	5.0617073842383280e-02	6.6325980269496065e-01	3.8558711912256921e-01	5.2826882076669335e-01	-3.6378710903709438e-01
4.000000	-2.7346487140698389e+02	1.0604068934923271e+03	7.3888356358683404e+03	-6.8524751380605055e+06	-2.0318574058756211e+06	2.9606724845099961e+04	1.9928965761851860e-04	1.9565706384880034e-04	5.0618033921868866e-02	6.7217495639512137e-01	3.9892080569366728e-01	5.1836639312983557e-01	-3.4689955499178277e-01
5.000000	-2.6597435388795435e+02	1.0626273195561730e+03	7.3887991399245502e+03	-6.8527448576999567e+06	-2.0307958886730624e+06	3.6995542907805262e+04	2.4746748261390660e-04	2.5009441559252217e-04	5.0619035039663814e-02	6.8063622973511373e-01	4.1202478039690255e-01	5.0814125289516965e-01	-3.2979140409807689e-01
6.000000	-2.5848351885707672e+02	1.0648465919744156e+03	7.3887545462673634e+03	-6.8530070866624452e+06	-2.0297321516210577e+06	4.4384320425711157e+04	2.9493012117992937e-04	3.0668011980972089e-04	5.0620064095812461e-02	6.8863772479979080e-01	4.2489050558164931e-01	4.9760140993175989e-01	-3.1247236531101896e-01
7.000000	-2.5099237458341651e+02	1.0670647082883124e+03	7.3887018548882588e+03	-6.8532618246345911e+06	-2.0286661958744817e+06	5.1773049301099236e+04	3.4164962288910073e-04	3.6538154565609509e-04	5.0621106603338947e-02	6.9617389221348269e-01	4.3750951523703890e-01	4.8675506869785640e-01	-2.9495226558602100e-01
8.000000	-2.4350092933650200e+02	1.0692816660403894e+03	7.3886410657878550e+03	-6.8535090713112876e+06	-2.0275980225906684e+06	5.9161721436247135e+04	3.8759848355458142e-04	4.2616481882871152e-04	5.0622146789188062e-02	7.0323953593770028e-01	4.4987342075685177e-01	4.7561062011772531e-01	-2.7724104750539624e-01
9.000000	-2.3600919138631585e+02	1.0714974627744439e+03	7.3885721789759191e+03	-6.8537488263956960e+06	-2.0265276329294075e+06	6.6550328733437666e+04	4.3274966083275317e-04	4.8899482714960659e-04	5.0623167708335241e-02	7.0982981780477206e-01	4.6197391693316547e-01	4.6417663337165499e-01	-2.5934876683807312e-01
10.000000	-2.2851716900328475e+02	1.0737120960355464e+03	7.3884951944713603e+03	-6.8539810895992480e+06	-2.0254550280529440e+06	7.3938863094967994e+04	4.7707658898355507e-04	5.5383522698853780e-04	5.0624151370082866e-02	7.1594026177812464e-01	4.7380278817532273e-01	4.5246184760099001e-01	-2.4128559001287089e-01
10.100000	-2.2776795143959961e+02	1.0739334952761676e+03	7.3884870506488105e+03	-6.8540039038552931e+06	-2.0253476457732813e+06	7.4677712207898803e+04	4.8146293988832146e-04	5.6042840271203730e-04	5.0624246966581736e-02	7.1652475366734247e-01	4.7497042245863003e-01	4.5127526640103682e-01	-2.3947026768703042e-01
# 
# FINISH TIME: Tue Dec  4 10:34:22 2018
